"","X.3","X.2","X.1","X","day","month","year","time","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag.Text","AvgSpeed","PmlHGV","Class2Volume"
"214",358,358,358,715,5,2,18,"23:00",1083,1,"NB_NS",1,"North",68,0,NA,16475,88,57
"215",359,359,359,716,5,2,18,"23:00",1083,2,"NB_MID",1,"North",104,0,NA,16806,19,102
"216",360,360,360,717,5,2,18,"23:00",1083,3,"NB_OS",1,"North",47,0,NA,16489,0,47
"217",361,361,361,721,6,2,18,"00:00",1083,1,"NB_NS",1,"North",41,0,NA,16335,49,39
"218",362,362,362,722,6,2,18,"00:00",1083,2,"NB_MID",1,"North",75,0,NA,16426,67,70
"219",363,363,363,723,6,2,18,"00:00",1083,3,"NB_OS",1,"North",14,0,NA,17659,0,14
"220",364,364,364,727,6,2,18,"01:00",1083,1,"NB_NS",1,"North",14,0,NA,17440,0,13
"221",365,365,365,728,6,2,18,"01:00",1083,2,"NB_MID",1,"North",32,0,NA,16033,31,30
"222",366,366,366,729,6,2,18,"01:00",1083,3,"NB_OS",1,"North",5,0,NA,15611,0,5
"223",367,367,367,733,6,2,18,"02:00",1083,1,"NB_NS",1,"North",16,0,NA,17153,62,14
"224",368,368,368,734,6,2,18,"02:00",1083,2,"NB_MID",1,"North",30,0,NA,17148,100,27
"225",369,369,369,735,6,2,18,"02:00",1083,3,"NB_OS",1,"North",2,0,NA,17361,0,2
"226",370,370,370,739,6,2,18,"03:00",1083,1,"NB_NS",1,"North",27,0,NA,17315,111,24
"227",371,371,371,740,6,2,18,"03:00",1083,2,"NB_MID",1,"North",26,0,NA,15930,38,25
"228",372,372,372,741,6,2,18,"03:00",1083,3,"NB_OS",1,"North",7,0,NA,15437,0,7
"229",373,373,373,745,6,2,18,"04:00",1083,1,"NB_NS",1,"North",48,0,NA,16921,83,44
"230",374,374,374,746,6,2,18,"04:00",1083,2,"NB_MID",1,"North",54,0,NA,16667,19,52
"231",375,375,375,747,6,2,18,"04:00",1083,3,"NB_OS",1,"North",17,0,NA,17516,0,17
"232",376,376,376,751,6,2,18,"05:00",1083,1,"NB_NS",1,"North",166,0,NA,15671,18,157
"233",377,377,377,752,6,2,18,"05:00",1083,2,"NB_MID",1,"North",147,0,NA,16761,61,137
"234",378,378,378,753,6,2,18,"05:00",1083,3,"NB_OS",1,"North",68,0,NA,17243,0,68
"235",379,379,379,757,6,2,18,"06:00",1083,1,"NB_NS",1,"North",325,0,NA,15020,31,302
"236",380,380,380,758,6,2,18,"06:00",1083,2,"NB_MID",1,"North",492,0,NA,15094,41,468
"237",381,381,381,759,6,2,18,"06:00",1083,3,"NB_OS",1,"North",451,0,NA,15727,22,441
"238",382,382,382,763,6,2,18,"07:00",1083,1,"NB_NS",1,"North",847,0,NA,11462,22,812
"239",383,383,383,764,6,2,18,"07:00",1083,2,"NB_MID",1,"North",1150,0,NA,9121,28,1107
"240",384,384,384,765,6,2,18,"07:00",1083,3,"NB_OS",1,"North",1192,0,NA,9658,28,1147
"241",385,385,385,769,6,2,18,"08:00",1083,1,"NB_NS",1,"North",858,0,NA,7275,41,802
"242",386,386,386,770,6,2,18,"08:00",1083,2,"NB_MID",1,"North",918,0,NA,7291,31,876
"243",387,387,387,771,6,2,18,"08:00",1083,3,"NB_OS",1,"North",1027,0,NA,7917,27,990
"244",388,388,388,775,6,2,18,"09:00",1083,1,"NB_NS",1,"North",743,0,NA,13196,50,687
"245",389,389,389,776,6,2,18,"09:00",1083,2,"NB_MID",1,"North",879,0,NA,12943,53,818
"246",390,390,390,777,6,2,18,"09:00",1083,3,"NB_OS",1,"North",915,0,NA,13703,23,887
"247",391,391,391,781,6,2,18,"10:00",1083,1,"NB_NS",1,"North",573,0,NA,13489,73,514
"248",392,392,392,782,6,2,18,"10:00",1083,2,"NB_MID",1,"North",690,0,NA,14172,42,650
"249",393,393,393,783,6,2,18,"10:00",1083,3,"NB_OS",1,"North",537,0,NA,15262,47,508
"250",394,394,394,787,6,2,18,"11:00",1083,1,"NB_NS",1,"North",551,0,NA,13615,67,494
"251",395,395,395,788,6,2,18,"11:00",1083,2,"NB_MID",1,"North",672,0,NA,14735,58,622
"252",396,396,396,789,6,2,18,"11:00",1083,3,"NB_OS",1,"North",454,0,NA,15721,35,436
